COUNTY,COUNT
Adams,42390
Ashland,41949
Barron,49581
Bayfield,50666
Brown,58449
Buffalo,52885
Burnett,48087
Calumet,72752
Chippewa,54659
Clark,48675
Columbia,62036
Crawford,46698
Dane,70815
Dodge,56949
Door,56298
Douglas,50340
Dunn,52181
Eau Claire,52209
Florence,47704
Fond du Lac,58920
Forest,42072
Grant,47512
Green,60846
Green Lake,50386
Iowa,58372
Iron,41597
Jackson,51024
Jefferson,60744
Juneau,47938
Kenosha,59622
Kewaunee,61074
La Crosse,55151
Lafayette,56074
Langlade,44522
Lincoln,54471
Manitowoc,53633
Marathon,56223
Marinette,44265
Marquette,50032
Menominee,36562
Milwaukee,47666
Monroe,56400
Oconto,58025
Oneida,50938
Outagamie,61764
Ozaukee,85706
Pepin,53262
Pierce,70086
Polk,53661
Portage,55064
Price,46414
Racine,56246
Richland,50306
Rock,51573
Rusk,43075
Sauk,57647
Sawyer,44180
Shawano,50203
Sheboygan,55594
St. Croix,75619
Taylor,50963
Trempealeau,53142
Vernon,51002
Vilas,45902
Walworth,58904
Washburn,46989
Washington,74631
Waukesha,82080
Waupaca,52125
Waushara,47596
Winnebago,57003
Wood,52591
