COUNTY,COUNT
Adams,7.9
Ashland,7.9
Barron,8.0
Bayfield,9.2
Brown,7.2
Buffalo,7.0
Burnett,8.4
Calumet,4.4
Chippewa,5.7
Clark,16.5
Columbia,5.6
Crawford,6.5
Dane,5.1
Dodge,5.5
Door,7.0
Douglas,6.6
Dunn,6.0
Eau Claire,6.5
Florence,7.4
Fond du Lac,5.5
Forest,11.4
Grant,8.1
Green,5.8
Green Lake,8.2
Iowa,5.6
Iron,7.3
Jackson,10.1
Jefferson,5.9
Juneau,8.1
Kenosha,6.6
Kewaunee,5.6
La Crosse,5.0
Lafayette,11.0
Langlade,6.9
Lincoln,5.7
Manitowoc,6.5
Marathon,6.5
Marinette,6.2
Marquette,8.5
Menominee,9.9
Milwaukee,8.1
Monroe,7.7
Oconto,6.3
Oneida,6.3
Outagamie,5.3
Ozaukee,3.9
Pepin,8.0
Pierce,4.9
Polk,6.5
Portage,5.5
Price,6.8
Racine,6.2
Richland,7.9
Rock,7.2
Rusk,8.8
Sauk,7.3
Sawyer,10.7
Shawano,7.9
Sheboygan,6.1
St. Croix,4.6
Taylor,8.4
Trempealeau,7.6
Vernon,10.6
Vilas,10.2
Walworth,8.5
Washburn,6.8
Washington,4.2
Waukesha,3.8
Waupaca,6.7
Waushara,8.4
Winnebago,5.3
Wood,5.5
