ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2012;Acre ;1200013;ACRELANDIA;487082
2012;Acre ;1200054;ASSIS BRASIL;163209
2012;Acre ;1200104;BRASILEIA;565839
2012;Acre ;1200138;BUJARI;196210
2012;Acre ;1200179;CAPIXABA;207708
2012;Acre ;1200203;CRUZEIRO DO SUL;1712019
2012;Acre ;1200252;EPITACIOLANDIA;600817
2012;Acre ;1200302;FEIJO;367943
2012;Acre ;1200336;MANCIO LIMA;83864
2012;Acre ;1200344;MANOEL URBANO;198270
2012;Acre ;1200385;PLACIDO DE CASTRO;354503
2012;Acre ;1200807;PORTO ACRE;435731
2012;Acre ;1200393;PORTO WALTER;74672
2012;Acre ;1200401;RIO BRANCO;9903086
2012;Acre ;1200427;RODRIGUES ALVES;72410
2012;Acre ;1200435;SANTA ROSA;19058
2012;Acre ;1200500;SENA MADUREIRA;817955
2012;Acre ;1200450;SENADOR GUIOMARD;352610
2012;Acre ;1200609;TARAUACA;632759
2012;Acre ;1200708;XAPURI;340819
2012;Alagoas ;2700102;AGUA BRANCA;191893
2012;Alagoas ;2700201;ANADIA;576914
2012;Alagoas ;2700300;ARAPIRACA;15713392
2012;Alagoas ;2700409;ATALAIA;3486422
2012;Alagoas ;2700508;BARRA DE SANTO ANTONIO;254212
2012;Alagoas ;2700607;BARRA DE SAO MIGUEL;112669
2012;Alagoas ;2700706;BATALHA;726534
2012;Alagoas ;2701001;BOCA DA MATA;756466
2012;Alagoas ;2701100;BRANQUINHA;247221
2012;Alagoas ;2701209;CACIMBINHAS;380440
2012;Alagoas ;2701308;CAJUEIRO;437508
2012;Alagoas ;2701357;CAMPESTRE;156923
2012;Alagoas ;2701407;CAMPO ALEGRE;101786
2012;Alagoas ;2701506;CAMPO GRANDE;582893
2012;Alagoas ;2701605;CANAPI;199810
2012;Alagoas ;2701704;CAPELA;259335
2012;Alagoas ;2701803;CARNEIROS;140959
2012;Alagoas ;2701902;CHA PRETA;3900
2012;Alagoas ;2702108;COLONIA LEOPOLDINA;703104
2012;Alagoas ;2702207;COQUEIRO SECO;120250
2012;Alagoas ;2702306;CORURIPE;917695
2012;Alagoas ;2702355;CRAIBAS;441402
2012;Alagoas ;2702405;DELMIRO GOUVEIA;2713289
2012;Alagoas ;2702504;DOIS RIACHOS;313755
2012;Alagoas ;2702553;ESTRELA DE ALAGOAS;4680
2012;Alagoas ;2702603;FEIRA GRANDE;237479
2012;Alagoas ;2702702;FELIZ DESERTO;48620
2012;Alagoas ;2702801;FLEXEIRAS;211770
2012;Alagoas ;2702900;GIRAU DO PONCIANO;1122202
2012;Alagoas ;2703007;IBATEGUARA;288353
2012;Alagoas ;2703106;IGACI;157711
2012;Alagoas ;2703205;IGREJA NOVA;205907
2012;Alagoas ;2703304;INHAPI;696387
2012;Alagoas ;2703502;JACUIPE;87048
2012;Alagoas ;2703601;JAPARATINGA;37119
2012;Alagoas ;2703700;JARAMATAIA;32500
